Year,Country,Measure,Age,Value
2017,Austria,SHA1,TOT,0.181
2018,Austria,SHA1,TOT,0.179
2019,Austria,SHA1,TOT,0.18
2007,Austria,SHA2,TOT,0.104
2008,Austria,SHA2,TOT,0.105
2009,Austria,SHA2,TOT,0.108
2010,Austria,SHA2,TOT,0.107
2011,Austria,SHA2,TOT,0.105
2012,Austria,SHA2,TOT,0.104
2013,Austria,SHA2,TOT,0.108
2014,Austria,SHA2,TOT,0.111
2015,Austria,SHA2,TOT,0.104
2016,Austria,SHA2,TOT,0.103
2017,Austria,SHA2,TOT,0.087
2018,Austria,SHA2,TOT,0.088
2019,Austria,SHA2,TOT,0.084
2007,Austria,SHA3,TOT,0.199
2008,Austria,SHA3,TOT,0.19
2009,Austria,SHA3,TOT,0.191
2010,Austria,SHA3,TOT,0.184
2011,Austria,SHA3,TOT,0.181
2012,Austria,SHA3,TOT,0.181
2013,Austria,SHA3,TOT,0.177
2014,Austria,SHA3,TOT,0.176
2015,Austria,SHA3,TOT,0.181
2016,Austria,SHA3,TOT,0.18
2017,Austria,SHA3,TOT,0.202
2018,Austria,SHA3,TOT,0.204
2019,Austria,SHA3,TOT,0.206
2007,Austria,SHA4,TOT,0.168
2008,Austria,SHA4,TOT,0.17
2009,Austria,SHA4,TOT,0.169
2010,Austria,SHA4,TOT,0.175
2011,Austria,SHA4,TOT,0.173
2012,Austria,SHA4,TOT,0.167
2013,Austria,SHA4,TOT,0.164
2014,Austria,SHA4,TOT,0.159
2015,Austria,SHA4,TOT,0.157
2016,Austria,SHA4,TOT,0.159
2017,Austria,SHA4,TOT,0.149
2018,Austria,SHA4,TOT,0.143
2019,Austria,SHA4,TOT,0.137
2007,Austria,SHA5,TOT,0.178
2008,Austria,SHA5,TOT,0.181
2009,Austria,SHA5,TOT,0.188
2010,Austria,SHA5,TOT,0.186
2011,Austria,SHA5,TOT,0.191
2012,Austria,SHA5,TOT,0.202
2013,Austria,SHA5,TOT,0.205
2014,Austria,SHA5,TOT,0.207
2015,Austria,SHA5,TOT,0.206
2016,Austria,SHA5,TOT,0.207
2017,Austria,SHA5,TOT,0.221
2018,Austria,SHA5,TOT,0.224
2019,Austria,SHA5,TOT,0.229
2007,Austria,SHA6,TOT,0.091
2008,Austria,SHA6,TOT,0.094
2009,Austria,SHA6,TOT,0.097
2010,Austria,SHA6,TOT,0.094
2011,Austria,SHA6,TOT,0.097
2012,Austria,SHA6,TOT,0.098
2013,Austria,SHA6,TOT,0.102
2014,Austria,SHA6,TOT,0.103
2015,Austria,SHA6,TOT,0.098
2016,Austria,SHA6,TOT,0.093
2017,Austria,SHA6,TOT,0.087
2018,Austria,SHA6,TOT,0.092
2019,Austria,SHA6,TOT,0.091
2007,Austria,SHA7,TOT,0.065
2008,Austria,SHA7,TOT,0.065
2009,Austria,SHA7,TOT,0.065
2010,Austria,SHA7,TOT,0.07
2011,Austria,SHA7,TOT,0.067
2012,Austria,SHA7,TOT,0.065
2013,Austria,SHA7,TOT,0.066
2014,Austria,SHA7,TOT,0.068
2015,Austria,SHA7,TOT,0.072
2016,Austria,SHA7,TOT,0.077
2017,Austria,SHA7,TOT,0.072
2018,Austria,SHA7,TOT,0.071
2019,Austria,SHA7,TOT,0.073
2007,Austria,HHD,TOT,3566489.00
2008,Austria,HHD,TOT,3598258.00
